
;最初に貰える奴隷の退魔巫女のほう
;なんか巫女っぽい名前ってことで「かぐら」
;清楚黒髪巨乳巫女触手搾乳レイプ、という言葉だけで興奮するタイプの作者です
;配布の処女結界奴隷は2人とも【処女結界】・【貞操観念】・【献身的】・【信仰心】
;掃除Lv5,料理Lv5,接客Lv5,奉仕精神Lv5
番号,3
呼び名,神乐
CSTR,识别名,神乐
CSTR,原作名,era魔界牧场
CSTR,角色介绍,被囚禁[处女结界]中回避性奴隶的退魔巫女

;体力未記入だと1000にセットされます
基礎,体力,1500
基礎,气力,2000
基礎,等级,25
能力,奶农,0
能力,事务,0
能力,技巧,0
能力,清洁,5
能力,料理,5
能力,母性,0
能力,药学,0
能力,接客,5
能力,奉仕精神,5
能力,受虐癖,0
能力,百合癖,0

;感度未記入だと100にセットされます
能力,Ａ敏感度,100
能力,Ｂ敏感度,110
能力,Ｃ敏感度,100
能力,Ｖ敏感度,100
能力,Ｎ敏感度,120

;[素質]でバストサイズを指定した場合しきい値の中でランダムになる処理にしました
能力,胸围大小,6
;素質,巨乳

装着物,战斗用女巫服
装着物,裹胸布
装着物,私处贴纸
CSTR,第一人称,我
CSTR,主人公的称呼／陷落前,主人公
CSTR,主人公的称呼／陷落后,主人大人
CSTR,性器称呼／阴茎,男性器
CSTR,性器称呼／膣,膣穴
CSTR,性器称呼／肛门,尻穴
CSTR,种族,人类
CSTR,职业,退魔巫女
CSTR,体型,标准体型
CSTR,肤色,标准
CSTR,性格,温厚
CSTR,右瞳色,黑
CSTR,发色,黑色头发
CSTR,发型,中长发
CSTR,乳头颜色,樱桃粉
CSTR,乳房弹性,蓬松的
CSTR,阴毛,产毛

;[性経験]を入力した場合はそれに合わせて経験を変化させる処理にしました
CSTR,性经验,生娘
;素質,处女
;素質,Ａ处女
;素質,Ｍ处女
;素質,无授乳经验
;素質,无接吻经验
;素質,无乳交经验

素質,处女结界
素質,贞操观念
素質,献身的
素質,信仰心
素質,坦率
素質,自制力
素質,害羞
素質,清纯

フラグ,外表年龄,18

;身長CSTRを入力していれば範囲内で決定する処理にしました
;CSTR,身高,标准
フラグ,身高,1510

;補正値未記入だと100にセットされます
;フラグ,母乳容量修正值,100

;魔力未記入だと0にセットされます
フラグ,魔力量,3

フラグ,进入魔界的目的,6

;髪色・右目の色、乳首の色のカラーコード記述なしで[Str.csv]に入っているものを指定していれば
;自動的にカラーコードを選べる処理にしました
;こだわりたい場合や[Str.csv]にないカテゴリにする場合は自分で調整して記述すればOK
;0以外であれば上書きをしない処理になっています

;フラグ,颜色编码／发,0
;フラグ,颜色编码／右目,0xFF2020
;フラグ,颜色编码／乳头,0xEB6EA0

CSTR,使用口上,生真面目1
フラグ,口上表示
フラグ,颜色编码／口上,0xFFFFFF
;フラグ,专用设置／口上
;フラグ,专用设置／事件



