
;魔力搾る実験台候補の黒魔術士のほう
;黒なのでノワール＼唐突なおフランス語／
;自信家のおねーさんタイプ　だがチョロインだ
;性経験つけようかなと思ったけど生娘がいいので生娘にしました
;【乳自慢】の試験用でもある
;配布の魔術士奴隷は2人とも【極上乳圧】・【調合知識】・【掃除下手】・薬学Lv7・魔力量5
番号,6
呼び名,努瓦尔
CSTR,识别名,努瓦尔
CSTR,原作名,era魔界牧场
CSTR,角色介绍,为了寻找魔界水晶而参加队伍的黑魔法师却和同伴失散了

基礎,体力,1800
基礎,气力,2200
基礎,等级,43
能力,奶农,0
能力,事务,2
能力,技巧,0
能力,清洁,0
能力,料理,2
能力,母性,0
能力,药学,7
能力,接客,2
能力,奉仕精神,0
能力,受虐癖,2
能力,百合癖,0
能力,Ａ敏感度,120
能力,Ｂ敏感度,110
能力,Ｃ敏感度,100
能力,Ｖ敏感度,130
能力,Ｎ敏感度,110
能力,胸围大小,10

装着物,长袍
装着物,胸罩
装着物,内裤
装着物,丝带
CSTR,第一人称,人家
CSTR,主人公的称呼／陷落前,业主先生
CSTR,主人公的称呼／陷落后,老板
CSTR,性器称呼／阴茎,阴茎
CSTR,性器称呼／膣,小穴
CSTR,性器称呼／肛门,肛门
CSTR,种族,人类
CSTR,职业,黑魔法师
CSTR,体型,性感
CSTR,肤色,标准
CSTR,性格,强势
CSTR,右瞳色,红
CSTR,眼睛特征,吊眼
CSTR,发色,银色头发
CSTR,发型,及腰长发
CSTR,乳头颜色,宝石红
CSTR,乳房弹性,蓬松的
CSTR,性经验,生娘
CSTR,阴毛,标准
素質,极上乳压
素質,调合知识
素質,不擅长清洁
素質,单纯
素質,不知羞恥
素質,喜怒无常
素質,炫耀胸部

フラグ,身高,1620
フラグ,进入魔界的目的,0
フラグ,魔力量,5
フラグ,外表年龄,26
基礎,回复次数,1
基礎,大技次数,3

;作ったら追加するかな
;CSTR,使用口上,生真面目1
;フラグ,口上表示
;フラグ,颜色编码／口上,0x90B0B0
;フラグ,专用设置／口上
;フラグ,专用设置／事件



