
;予定だけ書いて実装されてない部分も多いよ
;素質に関してはキャラメイクの賑やかしとしてほぼコメントアウトせずに書いています

;0～,性经验,
0,处女,
1,Ａ处女,
2,处女结界,
3,无接吻经验,
4,无授乳经验,
5,无乳交经验,
6,Ｍ处女,



;10～,おっぱいサイズ,
10,绝壁,
11,贫乳,
12,普乳,
13,巨乳,
14,丰乳,
15,爆乳,
16,神乳,		;追加
17,魔乳,		;元々の超乳
18,超乳,		;乳のほうが体より大きくなってしまった状態

;20～,あなた用素質,
20,男性,
21,业主,
22,童贞,		;オトコ用未経験判定
23,Ａ童贞,		;オトコにＡ処女判定いる？と思ってきた
24,Ｍ童贞,
25,包茎,		;主人公用：包皮口紧、首次口交前戏褪包皮叙事用；无额外数值判定

;30～,天性の性素質,
;ここのみ後付した場合にdatに記録される
30,名器,				;膣があなたの射精を促す形をしている
31,Ａ名器,				;そっちに出しても妊娠しないというのにアナルがあなたの精液を搾り取る
32,先天母乳体质,		;改造や妊娠しなくても母乳が出るドスケベ特異体質
33,口穴,		;おしゃぶり快楽が倍増する特異体質
34,极上乳压,			;パイズリの快楽が倍増する特異体質、巨乳以上でないと無効



;50～,身体特徴：主に種族での特徴
50,魔界种族,			;魔力回復量が非常に多い、ニンゲン用薬品無効
51,天界种族,			;天界種族用の薬品が必要になる予定
52,神格,				;[女神]またはそれに匹敵する生物
53,动物耳朵,
54,尾巴,
55,两角,				;立派な二本の角が生えているためイラマチオする時に便利
56,精灵耳,
57,半身人耳,


;70～,身体特徴：種族内でもまちまち
70,魔界适应,			;魔界でも毎日少しだけ魔力が回復する
71,药毒耐性,			;媚薬効果を軽減
72,怕太阳,			;朝は眠いとかでなく体がそもそも太陽苦手
73,猫舌,				;[強硬ペニス]でないとフェラ系コマンド不可予定
74,锯齿,				;[堅牢ペニス]でないとフェラ系コマンド不可予定
75,陷没乳头,			;1回絶頂させないと搾乳不可だけどＮ感度ボーナス、とかやるかもしれない
76,蓬松乳头,	;趣味の部分なので有利不利つけないかもしれない
77,童颜,



;100～,体質+,
;+-がある場合は+50に逆素質を入れて打ち消しやすくする
;-1を入れることで-素質というのも他バリアントにあったし考えたけどCSV書きづらそうだった
100,不怕痛,
101,易湿,
102,回复快,
103,贪吃,
104,学得快,			;仕事系ABL、技巧ABL増加にボーナス
105,受动物喜欢,
106,污臭敏感,
107,容易中毒,

;150～,体質-,
150,怕痛,
151,不易湿,
152,回复慢,
153,少食,
154,学得慢,			;仕事系ABL、技巧ABL増加量が減少
155,被动物讨厌,
156,污臭钝感,
157,不易中毒,


;200～,技能+,
;仕事の上手いほうはLvで表現する
;200～,対がある部分
200,擅长教导,
201,性知识丰富,

210,调合知识,		;仕事「調剤」ができる
211,工程知识,
212,淫具知识,
213,医疗知识,
214,植物知识,		;家庭菜園とか追加したら使うかもしれない
215,缝纫知识,

220,煽动,			;隷属だと奴隷→奴隷調教で陥落させやすい
221,武装少女,		;武器に戦闘力の大半を頼っている、戦闘力にボーナスの反面一度敗北すると抵抗力皆無になる

;250～,技能-,
250,不擅长教导,
251,性知识贫乏,

260,运动不足,			;肉体労働の繰り返し回数低下
261,虚弱体质,			;繰り返し回数激減
262,不擅长料理,			;料理ABLがとてつもなく上がりにくい　上手はABLである
263,不擅长清洁,			;掃除ABLが同上
264,不擅长接客,			;接客ABL同上　牧場併設施設とか追加したら使うかもしれない（まだない）
265,音痴,

270,冒失,

;300～,性格+,
;ポジティブ／積極的側
300,自尊心高,
301,高傲,				;プライド高いよりさらに上
302,勇敢,
303,抗拒,
304,坚强,
305,贞操观念,
306,解放,
307,不知羞恥,
308,乐观,
309,好奇心,
310,接受快感,
311,清纯,
312,勤俭持家,
313,炫耀胸部,				;おっぱいがでかいのが自慢
314,傲慢,
315,喜欢引人注目,
316,感情丰富,



;350～,性格-,
;ネガティブ／消極的側
350,自尊心低,
351,卑屈,
352,胆怯,
353,坦率,
354,弱势,
355,不在乎贞操,
356,压抑,
357,害羞,
358,悲观,
359,冷漠,
360,否定快感,
361,粗野,
362,喜欢浪费,
363,乳房刺激厌恶感,			;おっぱいがでかいのがコンプレックス
364,老实,
365,谦逊,
366,感情缺乏,



;400～,独立性格,
400,高雅,
401,谦虚,
402,难以越过的底线,
403,自制力,
404,献身的,
405,容易自慰,
406,容易嫉妒,
407,爱慕虚荣,
408,保守的,
409,懒散,
410,喜欢偷懒,
411,倒错的,
412,傲娇,
413,乳房自卑,		;胸が小さいことにコンプレックスあり。膨乳の経験があると反抗心激減
414,抖Ｓ,
415,领袖魅力,
416,喜怒无常,
417,正义感,
418,少女心,			;触手など異常経験で自尊心が激減する
419,隶属愿望,
420,母性本能,		;母性ABLが上がりやすい
421,单纯,		;服従もしてないのに恋慕が上がる
422,信仰心,			;天界出身者に調教されるとあっという間に堕ちる予定
423,小恶魔,
424,幼稚,			;おっぱい吸う時に相手の母性増加にボーナス

;500～,好き嫌い,
;ここは+-で表現する,STRを呼んで文字列+「好き」か「苦手」とかにする,
;500～,動物,
500,喜欢牛,
501,喜欢马,
502,喜欢狗,
503,喜欢猫,
504,喜欢仓鼠,
505,喜欢羊,

;520～,性別・身分・種族,
520,喜欢男性,
521,喜欢女性,
522,喜欢儿童,
523,喜欢贵族,
524,喜欢王族,
525,喜欢同族,
526,喜欢天界族,
527,喜欢魔族,

;530～,業務ほか行動,
530,喜欢泡澡,
531,喜欢清洁,
532,喜欢料理,
533,喜欢读书,
534,喜欢植物,
535,喜欢机械,
536,喜欢实验,
537,喜欢打扮,

;550～,味覚,
550,喜欢牛奶,
551,喜欢西式甜点,
552,喜欢日式甜点,
553,喜欢喝酒,
554,喜欢喝茶,
555,喜欢酸味,
