
;牧場主
;野郎の見た目とか気にする人そんないないかもだけどニューゲーム時に一応選べて没入感は出せる
番号,0
呼び名,主人公
基礎,体力,2000
基礎,气力,2000
基礎,魔力,100
基礎,灵力,1000
基礎,射精,1000
基礎,精力,5000
基礎,等级,1
基礎,魔力恢复率,10
能力,奶农,10
能力,事务,10
能力,清洁,2
能力,料理,2
能力,技巧,1

;単にUP判定避けるための数値
能力,Ａ敏感度,100
能力,Ｂ敏感度,100
能力,Ｃ敏感度,100
能力,Ｖ敏感度,100
能力,Ｎ敏感度,100
素質,两角
素質,男性
素質,业主
素質,童贞
素質,Ａ童贞
素質,Ｍ童贞
素質,Ａ处女
素質,Ｍ处女
素質,无授乳经验
素質,无接吻经验
素質,无乳交经验
素質,魔界种族

装着物,工作服
装着物,男式内裤
CSTR,种族,魔界人

;聞かれないために必要、女あなたでドット絵出すために一応人間に近いよ判定
CSTR,颜色类别／种族,人类

;カテゴリだけ入れとく　女あなたの場合にドット絵をそれっぽくしたくて無口
CSTR,颜色类别／性格,無口
CSTR,职业,奶农家
CSTR,体型,标准体型
CSTR,肤色,标准
CSTR,身高,高大
CSTR,第一人称,俺
CSTR,发色,黑色头发
CSTR,发型,短发
CSTR,右瞳色,红
CSTR,乳头颜色,粉红色
CSTR,乳房弹性,硬邦邦,		;それはそう
CSTR,阴毛,标准
フラグ,身高,1900
フラグ,外表年龄,20

;あなたの場合必要
フラグ,灵力固定
フラグ,魔力固定
フラグ,颜色编码／口上,0x00FF7F
経験,执行次数／奶农,500
経験,执行次数／事务,500
経験,执行次数／料理,100
経験,执行次数／清洁,100


