
;ゲーム開始前に魔界に事故入りして運良くオカチ町だったし運良くあなたが人手が欲しいとこだった子
;SLAVEなのでスレイ
;以前は最初からおっぱいでかくとかできたけど貧乳固定になった
番号,1
呼び名,斯蕾
CSTR,识别名,斯蕾
CSTR,原作名,era魔界牧场
基礎,体力,1000
基礎,气力,2000
基礎,魔力,0
基礎,灵力,100
能力,奶农,8
能力,事务,2
能力,技巧,1
能力,清洁,3
能力,母性,0
能力,Ａ敏感度,110
能力,Ｂ敏感度,110
能力,Ｃ敏感度,100
能力,Ｖ敏感度,100
能力,Ｎ敏感度,110
能力,胸围大小,2
装着物,工作服
装着物,胸罩
装着物,内裤

CSTR,种族,人类
CSTR,职业,弃儿
CSTR,体型,标准体型
CSTR,肤色,标准
CSTR,右瞳色,蓝
CSTR,发色,金色头发
CSTR,发型,短发
CSTR,性格,無口
CSTR,乳头颜色,樱桃粉
CSTR,乳房弹性,紧紧的
CSTR,第一人称,我
CSTR,心境,报恩
CSTR,阴毛,白虎

;ここ「ご主人様」にしておかないと最初に口上設定したとき若干違和感出る
CSTR,主人公的称呼／陷落前,主人大人
CSTR,主人公的称呼／陷落后,主人大人
CSTR,性器称呼／阴茎,小鸡鸡
CSTR,性器称呼／膣,小穴
CSTR,性器称呼／肛门,屁股眼儿

CSTR,性经验,生娘
素質,口穴
素質,献身的
素質,老实
素質,学得快
素質,调合知识
素質,不擅长接客
フラグ,非战斗职业
フラグ,身高,1440
フラグ,进入魔界的目的,4
フラグ,母乳容量修正值,90
フラグ,外表年龄,13

CSTR,使用口上,無口1
フラグ,专用设置／事件
フラグ,口上表示
フラグ,颜色编码／口上,0xFFFF90
フラグ,专用设置／口上

;前から一緒に暮らしてて開始なのでスレイちゃんだけはここ入れる必要があるよ
経験,执行次数／奶农,200
経験,执行次数／清洁,100


