
;魔力搾る実験台候補の白魔術士のほう
;白なのでシャロン
;臆病で卑屈なので先頭切って戦うとか絶対無理なタイプにした
;ら、なんか某カイブのヒヨリちゃんっぽくなってしまいました…もうおしまいです…
;いっそ片目隠れにしようかと思ったけどAI画像でなんかちょうどいいのがありませんでした…
;なんやかんやして作ってしまいました…結局画像作るのに一番時間かかってます…
;【乳責め嫌悪】の試験用でもある
;配布の魔術士奴隷は2人とも【極上乳圧】・【調合知識】・【掃除下手】・薬学Lv7・魔力量5
番号,5
呼び名,莎伦
CSTR,识别名,莎伦
CSTR,原作名,era魔界牧场
CSTR,角色介绍,为了寻找魔界水晶而参加队伍的白魔法师却和同伴走散了

基礎,体力,1200
基礎,气力,1500
基礎,等级,31
能力,奶农,0
能力,事务,0
能力,技巧,0
能力,清洁,0
能力,料理,1
能力,母性,3
能力,药学,7
能力,接客,3
能力,奉仕精神,0
能力,受虐癖,2
能力,百合癖,0
能力,Ａ敏感度,100
能力,Ｂ敏感度,110
能力,Ｃ敏感度,120
能力,Ｖ敏感度,130
能力,Ｎ敏感度,130
能力,胸围大小,9

装着物,长袍
装着物,胸罩
装着物,内裤
装着物,发箍
CSTR,第一人称,我
CSTR,主人公的称呼／陷落前,业主先生
CSTR,主人公的称呼／陷落后,业主大人
CSTR,性器称呼／阴茎,鸡鸡
CSTR,性器称呼／膣,小穴
CSTR,性器称呼／肛门,后面的穴
CSTR,种族,人类
CSTR,职业,白魔法师
CSTR,体型,苗条
CSTR,肤色,白皙
CSTR,性格,弱势
CSTR,右瞳色,空
CSTR,眼睛特征,垂眼
CSTR,发色,桃色头发
CSTR,头发特征,遮单眼
CSTR,发型,长发
CSTR,乳头颜色,亮粉色
CSTR,乳房弹性,柔软蓬松的
CSTR,性经验,生娘
CSTR,阴毛,白虎
素質,极上乳压
素質,调合知识
素質,不擅长清洁
素質,接受快感
素質,胆怯
素質,害羞
素質,乳房刺激厌恶感

フラグ,身高,1490
フラグ,进入魔界的目的,0
フラグ,魔力量,5
フラグ,外表年龄,21
基礎,回复次数,2
基礎,大技次数,0

;作ったら追加するかな
;CSTR,使用口上,生真面目1
;フラグ,口上表示
;フラグ,颜色编码／口上,0xF0B0A0
;フラグ,专用设置／口上
;フラグ,专用设置／事件



