
;MARKは保存時にリセット（先天的母乳体質などはTALENT見て付与）
;0～,体質
0,母乳体质
1,魔力母乳体质

;10～,母乳浓度
10,浓厚母乳
11,上质母乳
12,丰润母乳
13,特浓母乳
14,极品母乳

;15～,母乳生产力
15,乳罐
16,荷斯坦奶牛
17,牛奶机

;20～,部位淫乱
20,淫乳
21,淫核
22,淫壶
23,淫尻

;30～,刻印
30,快感刻印
31,屈服刻印

;赤表示刻印は190あたりにしたほうが都合よかった

;40～,淫纹
40,淫纹
41,阴道高潮淫纹
42,肛门高潮淫纹
43,胸部高潮淫纹
44,阴蒂高潮淫纹
45,乳头高潮淫纹
46,欲望解放淫纹
47,受虐母畜淫纹

52,绝顶魔力回复淫纹



;100～,ネガティブ素質消去記録
100,处女结界解除
101,消除乳房自卑感
102,消除乳房刺激厌恶感

;150～,反抗素質消去記録
150,处女结界破坏
151,自尊心崩坏
152,高傲消失
153,坚强崩坏
154,抗拒消失
155,傲慢消失
156,乐观消失
157,领袖魅力崩坏
158,正义败北
159,凌辱少女心
160,自制力崩坏

;190～,赤表示刻印
190,痛苦刻印
191,恐怖刻印
192,绝望刻印



;200～,ABL依存刻印
200,母性
201,母性本能觉醒
202,大家的麻麻

205,搾乳中毒
206,搾乳奴隶
207,搾乳家畜

210,膣内射精中毒
211,榨精淫穴
212,精液便女

215,尻穴射精中毒
216,榨精尻穴
217,尻穴便器
218,吞精兽
219,口便器

220,触手中毒
221,触手的俘虏
222,触手的苗床

225,精液中毒
226,精液依赖
227,精液崇拜

230,轮奸中毒
231,肉便器

235,被虐中毒
236,抖Ｍ
237,母猪

240,百合中毒
241,百合依赖
242,百合姫

245,乳内射精中毒
246,乳穴
247,乳交飞机杯

250,精饮中毒
251,精饮味觉
252,精饮渇望

255,擅长做爱
256,擅长床技
257,性爱达人

260,奉仕中毒
261,擅长侍奉
262,侍奉的雌奴隶


