
;100～199はキャラメイク完了時に0～99をバックアップする
;～9,基礎パラメータ
0,体力,		;HP
1,气力,		;SP
2,灵力,		;EP
3,魔力,		;MP
4,等级,		;RPG的なLV
5,魔力恢复率,	;1日の回復割合
6,可吸收的灵力
7,可吸收的魔力
	;8,健康度
	;9,聖力,		;聖乳研究に使うかも？枠

;～19,戦闘に使うパラメータ
10,战斗力,
	;11,体術,
	;12,武器戦闘,
	;13,魔術戦闘,
	;14,戦闘魔力,	;戦闘時に使えるMP
15,大技次数
16,回复次数
17,战斗适性

19,疲劳度

;～29,仲間の戦闘力→1～9にそれぞれ割り振り予定
20,同伴人数
21,同伴战斗力1,

;～39,Ｈパラメータ
30,母乳容量,		;MILKPOINTで被るので略さない
31,母乳生产力,
32,基础喷乳量,
33,射精,		;オトコかふたなりのみ
34,精力,		;0だと勃起しなくなるとか

;～49,低いほど堕ちている精神パラメータ　100％＝10000,,
40,抵抗心,		;基礎防御
41,尊严,		;恥辱などで減る倍率補正
42,厌恶感,		;好感度防御
43,理性,		;乳牛堕ち防御
44,精神力,		;20％で屈服、0％で崩壊
	;45,未練,

;～59,高いほど堕ちている精神パラメータ
	;50,順応,		;牧場暮らしの受け入れ度
51,好感度,		;50％で陥落、100％で恋慕、200％で隷属
52,乳牛堕落,	;100％で乳牛堕ち
	;53,親愛度,
	;54,家畜精神,

;～79,ペットなつき度　10000=100%,,
60,亲和度／堕落天马,
61,亲和度／双头犬,
62,亲和度／魔界仓鼠,



;頻繁に呼ぶものは書いておく
100,初始值／体力,
101,初始值／气力,
102,初始值／灵力,
103,初始值／魔力,
104,初始值／等级,
105,初始值／魔力恢复率,
	;109,初期値／聖力,



