
;FLAG,ダミー,ダミー
;0～,牧場各種状態,
0,奶牛健康度,
1,事务工作量,
2,事务作业量MAX
3,大浴场清洁完成度,
4,主人公的浴池清洁完毕,
5,奴隶人数,
6,追踪中人数,

;20～,設備,
20,单间数／合计,
21,单间数／空房,
22,单间数／使用中,
23,空闲宠物小屋数,
24,魔力枷锁使用可能数,
25,奴隶寮／使用人数

;40～,行動回数,
40,触手肉体改造可能次数,
41,当前访问次数,
42,时刻限制／房间分配变更

;90～,対応フラグ以外で判定する機能アンロックのBIT,
90,解锁BIT／主菜单,
91,解锁BIT／日程,
92,解锁BIT／冈地街,
93,解锁BIT／阿波罗街,
94,解锁BIT／更衣购买,



;100～,記録,
100,保存数据的版本,
101,奴隶序列号,
102,储存魔力上限值,
103,最大日销售额,
104,母乳合计出货金额,
105,母乳出货总量,
106,触手出产合计,
107,龙召唤次数,
108,周回次数
109,魔界住民面识BIT,

;140～,あなた経験人数,
140,主人公经验人数／Ｖ,
141,主人公经验人数／Ａ,
142,主人公经验人数／Ｍ,
143,主人公经验人数／乳交,
144,主人公经验人数／接吻,
145,主人公经验人数／授乳,
146,主人公经验人数／出产,



;200～,セーブデータ固有設定,
200,开发者模式,
201,保存数据显示信息BIT,
202,列表状态切换,
203,主要／扩展菜单显示,
204,主要／奴隶隐藏,
205,主要／折叠BIT,
	;206,主人公状态追加显示,
207,食物种类／魔界乳牛,
208,EX模式
209,能力有效BIT
210,显示调教指令BIT

;230～,牧場情報から設定,
230,外出方式默认值,
231,魔力电池费用使用,
232,自动选择／保管牛奶
233,解锁要素强制开启

	;250～,上にないあなたアビリティ有効設定,
	;取っておいて不都合ないであろう部分に関しては有効無効なし
	;250,阴茎尺寸,		;こども→短小→標準(0)→巨根→極太→馬並
	;251,ペニス硬度,		;標準(0)→強硬→堅牢
	;252,輝きちんぽ,		;は？
	;253,精液濃度,			;標準(0)→濃厚→特濃
	;254,射精頻度,			;三擦り半→早漏→標準(0)→遅漏→超遅漏



	;0→Lv上げた分有効・+→そのLvまで有効・-1→無効
	;260,有効数値／搾乳エナジードレイン効率,
	;261,有効数値／魔力吸収効率,
	;262,有効数値／豊穣,
	;263,有効数値／濃厚母乳マッサージ,
	;264,有効数値／ミルクタンクマッサージ,
	;265,有効数値／甘え上手,
	;266,有効数値／百合手折り,
	;267,有効数値／獣欲,



;300～,当番設定,
300,餐食当番基准／月,

;301～306,月～土までそれぞれ割り振り,
310,食事担当ID・ABL／月,
320,宠物喂食担当标准／月,
