
;最初に貰える奴隷のバトルシスターのほう
;シスターっぽい名前ということで「マリア」
;かぐらちゃんよりは若干覚悟をしてるタイプ
;なんで最初に巫女とシスターかというと単に作者が生娘聖職者を穢すのが好きなだけです
;配布の処女結界奴隷は2人とも【処女結界】・【貞操観念】・【献身的】・【正義感】・【信仰心】
;掃除Lv5,料理Lv5,接客Lv5,奉仕精神Lv5
番号,4
呼び名,玛丽亚
CSTR,识别名,玛丽亚
CSTR,原作名,era魔界牧场
CSTR,角色介绍,即使被囚禁[处女结界]也能回避性奴隶的战斗修女

基礎,体力,1500
基礎,气力,2000
基礎,等级,25
能力,奶农,0
能力,事务,0
能力,技巧,0
能力,清洁,5
能力,料理,5
能力,母性,0
能力,药学,0
能力,接客,5
能力,奉仕精神,5
能力,受虐癖,0
能力,百合癖,0
能力,Ａ敏感度,100
能力,Ｂ敏感度,110
能力,Ｃ敏感度,100
能力,Ｖ敏感度,100
能力,Ｎ敏感度,120
能力,胸围大小,6

装着物,战斗修女服
装着物,胸罩
装着物,内裤
	;装着物,修女面纱
CSTR,第一人称,我
CSTR,主人公的称呼／陷落前,您
CSTR,主人公的称呼／陷落后,主人大人
CSTR,性器称呼／阴茎,阴茎
CSTR,性器称呼／膣,膣
CSTR,性器称呼／肛门,肛门
CSTR,种族,人类
CSTR,职业,战斗修女
CSTR,体型,标准体型
CSTR,肤色,标准
CSTR,性格,一本正经
CSTR,右瞳色,蓝
CSTR,发色,金色头发
CSTR,发型,低马尾
CSTR,乳头颜色,浅粉色
CSTR,乳房弹性,富有弹性
CSTR,性经验,生娘
CSTR,阴毛,标准

素質,处女结界
素質,贞操观念
素質,献身的
素質,正义感
素質,信仰心
素質,童颜
素質,抗拒
素質,保守的

フラグ,外表年龄,15
フラグ,身高,1580
フラグ,进入魔界的目的,6
フラグ,魔力量,3

CSTR,使用口上,生真面目1
フラグ,口上表示
フラグ,颜色编码／口上,0xF0F0A0
;フラグ,专用设置／口上
;フラグ,专用设置／事件



